UID,NOTES,Latitude,Longitude,ACRES,PROJECT_TYPE_2,POPUP NAME,POLYGON_LAYER_ID,TYPE,ORIGIN,ORIGIN_2,ORIGIN_3,Project_Status,STAT_NUM,STAT_DESCRP,DESCRIPTION,IMPACT,DISCUSSION,WATER_DELIVERY,STUDIES_PROJECTS,ESTB_PTOTO,ADDL_RESOURCES,ADDL_PHOTOS
48,,36.93980645,-118.2349403,8,Habitat,Little Blackrock Springs,Little Blackrock Springs,"Environmental Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=366"">EIR Impact 10-14</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a>",,Implemented and ongoing,50,"The Technical Group does not have a plan for monitoring flows or vegetation at springs and seeps. Ecosystem Sciences had developed an inventory of springs and seeps. According to the MOU, the inventory should provide baseline data adequate for monitoring change.","This habitat project diverts water from the ditch to maintain the wetland area at the original spring site, west of the aqueduct intake.","Mitigates damages from groundwater pumping, which has lowered water depth to a level where springs and seeps no longer flow.",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/de974622d1de4629927c199b326cf3d5/data,"<a href=""https://www.dropbox.com/sh/o1ekrh4pm7pdbvm/AACtCDvOFaT-wwAgs8jo9I9Ja?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/2d88sm9tt5jhol1/AADDgOEuFvgZp8Vs13-826wma?dl=0
49,,36.9295563,-118.2328424,38,Recreation,Blackrock Hatchery (Big Blackrock Springs),Big Blackrock Springs,"EIR, Environmental","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=366"">EIR Impact 10-14</a>",,,Implemented and ongoing,50,"The hatchery, operated since 1952 by the California Department of Fish and Wildlife provides stock trout to water bodies in Inyo and Mono Counties. Efforts are underway to assess water needs at the hatcheries to determine if water supply reductions can be made to conserve groundwater and still effectively run the fisheries operation.",This recreation project provides compensatory mitigation by producing fish that are stocked throughout the region.,"Mitigates damages from groundwater pumping, which has lowered water depth to a level where springs and seeps no longer flow.",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/31591256a2d24edcb9222f9620e0b287/data,"<a href=""https://www.dropbox.com/sh/o0l6cvnx9xgubfz/AABNOPj6w6_SDVq7F9WppKsda?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/e22qchla5j2o91q/AACPiNJxkZPkB6kgbL4j-enua?dl=0
50,,36.79641896,-118.1702009,14,Revegetation,Independence 105 Revegetation,IND105,"EIR, Revised","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=365"">EIR Impact 10-13</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",50,"LADWP has achieved native vegetation cover and composition, when measured in wet years, but has not determined that the vegetation cover is sustainable--a requirement in the 1999 Revegetation Plan.  This project is under review through the MOU party process.",This project implements a revegetation program utilizing native vegetation of the type that has died off. Water may be spread as necessary in these areas to accomplish the revegetation.,Mitigates damages caused by groundwater pumping.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/1e0d64dc2eb84890bc3a12e2b5606b09/data,"<a href=""https://www.dropbox.com/sh/0a6wyfq7cep5a7m/AAAC2ZbWUGEBIrLGJfTL35g4a?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/glnpztc16rqd0wt/AAA_Z6nXkwG-LjiGLIV7_I_Da?dl=0
51,,36.77831746,-118.1608161,51,Revegetation,Independence 131 South Revegetation,IND131s,"EIR, Revised","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=365"">EIR Impact 10-13</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",50,"Ongoing disturbances inhibiting natural revegetation include groundwater pumping, wind erosion, grazing, and invasion by weedy plants. The project has not yet met cover and composition goals.",This project implements a revegetation program utilizing native vegetation of the type that has died off. Water may be spread as necessary in these areas to accomplish the revegetation.,Mitigates damages caused by groundwater pumping.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/36250990a4e44a2389bbc466152ae587/data,"<a href=""https://www.dropbox.com/sh/fno514gk4pthe3c/AADlyrM3wV7l7fE7cH_qms4da?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/r91gkm71d4s0t22/AACx4q8TiPi3OAWzMem4pvCFa?dl=0
52,,36.7835572,-118.1612873,22,Revegetation,Independence 131 North Revegetation,IND131n,"EIR, Revised","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=365"">EIR Impact 10-13</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",50,"Ongoing disturbances inhibiting natural revegetation include groundwater pumping, wind erosion, grazing, and invasion by weedy plants. The project has not yet met cover and composition goals.",This project implements a revegetation program utilizing native vegetation of the type that has died off. Water may be spread as necessary in these areas to accomplish the revegetation.,Mitigates damages caused by groundwater pumping.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/6701af392db7483da5e1cad5742ad9bc/data,"<a href=""https://www.dropbox.com/sh/qn9kqiyqu9jp89p/AAAJA8B4y1x2duz4V0yUp2Tpa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/v13gjjs0sqtoj8g/AAAgCBkNprcBkv3R6rAQp20Ka?dl=0
53,,36.77183886,-118.1605594,28,Revegetation,Independence 123 Revegetation,IND123,"EIR, Revised","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=365"">EIR Impact 10-13</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",50,"LADWP has achieved native vegetation cover and composition, when measured in wet years, but has not determined that the vegetation cover is sustainable--a requirement in the 1999 Revegetation Plan.  This project is under review through the MOU party process.",This project implements a revegetation program utilizing native vegetation of the type that has died off. Water may be spread as necessary in these areas to accomplish the revegetation.,Mitigates damages caused by groundwater pumping.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/80d62c0317c44c9d8c18e4dea86203fe/data,"<a href=""https://www.dropbox.com/sh/hjcdv7vwgqc4qe5/AADSnnDo0kZ5h5ZTFKtJjnQ_a?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/hnpxq9b9brhdwpo/AACIhf3eqKZ_QtGe3pLbsaiba?dl=0
54,,36.69081402,-118.106077,68,Habitat,Reinhackle Spring,Reinhackle Spring,"EIR, Revised","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=366"">EIR Impact 10-14</a>",,,Implemented and ongoing,50,"This spring supports a large pasture and many large tree willows. When it was determined in the late 1980s that groundwater pumping in the Bairs Georges wellfield was affecting the flow from Reinhackle Spring (north of the Alabama Hills), pumping from certain wells in the area was discontinued and the spring flow increased. In the future, either groundwater pumping in the area will be managed to avoid causing a reduction in flow from this spring to protect riparian habitat.  Alternatively, LADWP will supply surface water to the native riparian vegetation now supplied by the spring to avoid any such decreases or changes due to reduced flow caused by groundwater pumping. A 2004 groundwater geochemical study found that Reinhackle Spring discharge is more chemically similar to aqueduct water than it is to local well water.","This habitat project manages groundwater pumping to prevent a reduction in spring flow, which would result in the decline of native riparian vegetation and loss of irrigation tailwater.",Preserves spring flow and protects native vegetation.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/1dd83fb9d17a48ebaf591c275032a45b/data,"<a href=""https://www.dropbox.com/sh/xbnduayh9vn7pm7/AABefidp86yrF7fm6eEjMya2a?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/psnfy5dsma0xryl/AABXagtZHQk93RDzRtjoVgRea?dl=0
55,,37.0180066,-118.2251902,5,Habitat,Big and Little Seely Springs,Big and Little Seeley Springs,"Environmental Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=366"">EIR Impact 10-14</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a>",,Implemented and ongoing,50,Riparian vegetation has established around a flow-through well-pond at Little Seely Spring and irrigates marsh vegetation. Big Seely Spring just to the north flows when runoff is above normal and pumping is low.,This habitat project discharges pumped water from Well 349 into a pond approximately one acre in size.,Provides a temporary resting place for waterfowl and shorebirds when the pumps are operating or Big Seely Spring is flowing.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/ba9a4f43b29f408ab67891f767bb4a95/data,"<a href=""https://www.dropbox.com/sh/4y2inj7ojqeahsz/AABHvwiIln6neFxDKHlkY6Mxa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/lf8z3ecu6kufrs7/AABA1x940A_autm8zSuPFcP9a?dl=0
56,,37.16134792,-118.2793349,22,,"Big Pine Area Revegetation, 20 Acres",20 Acres near Big Pine,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=373"">EIR Impact 10-19</a>",,,"Fully implemented, but not meeting goals",25,The area has been drill seeded and a small portion of the parcel have developed germinal cover. Still the majority of the field appears barren. Dust blowing off the field affects residents of the Big Pine Paiute Reservation and the Big Pine High School.,"This 20 acre project is intended to rehabilitate the barren site with cover and composition of native vegetation that are similar to local intact plant communities. If native vegetation cannot be established, then an irrigated crop will be established. ",Mitigates damages caused by increased groundwater pumping and abandoned agriculture.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/3f06eb14619e4a87839ebe438bdf9dbc/data,"<a href=""https://www.dropbox.com/sh/w0yvhsbbjzybsgd/AACU8RHytpNBOcyNsZcaYGNNa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/qomo5vzqx0upl5h/AABPcd53A9oiK8GDwNZiJaHya?dl=0
57,,37.37859664,-118.4924708,61,Recreation,Millpond,MillPond Recreation Area,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=358"">EIR Impact 10-5</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>",Implemented and ongoing,50,The park is well-maintained and water deliveries are meeting expectations.,"Water is supplied to irrigate this recreation area, the largest park and recreation area in the Owens Valley.",Provides water to 18 acres of the community park including two softball fields.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/f4d53eb0f1094b9dad177348b859cca0/data,"<a href=""https://www.dropbox.com/sh/vk18jy9xq7bskfr/AADL0AMhCKWpe911bfyrXWjaa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/egykrxhlub1csna/AACRvE1JG2GgYzoqAmeGO1lna?dl=0
58,,37.20012619,-118.3037923,22,Habitat,Klondike Lake South Shore Habitat Area,Klondike Lake South Shore Habitat Area,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=358"">EIR Impact 10-5</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a>, <a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132""> & 5-3</a>",Implemented and ongoing,50,"The County has requested that LADWP prepare a habitat management plan for this project. The elevation between the Lake and the Project is minimal and sediment in the water conveyance limited flow to the project. A new water gate was installed and from the 2011-12 runoff year to present, a full 200 af allocation was supplied. With the use of the new water gate new habitat has been created and is being used by desired species; however the original project area receives little water and is at times almost completely filled with Cattail and Bulrush. It has been the practice of LADWP to release water to the project area during waterfowl migration season, usually beginning releases in late winter. In 2015 the area was disked to cut down emergent vegetation. ",This habitat project provides shallow-flooded open-water habitat for nesting and visiting waterfowl.,Compensates for the inability to supply a full allocation of water to the Klondike Lake Project.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/5441b0fa93c341cd8c770974a1c5c9c8/data,"<a href=""https://www.dropbox.com/sh/83ztyznnm93diod/AAB7zSAYidcvB8Nndc5PuPKwa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/xjgpij9e3udz9k0/AAB_MDSD7pmEziI864pkpdMfa?dl=0
59,,37.08092127,-118.2490853,290,Habitat,Tule Elk Field,Tule Elk Fields,"Environmental Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a>",,,Implemented and ongoing,50,"The water supply to this project has been reduced since 2002. ICWD does not believe the project water provided is sufficient in all years to meet project goals, especially in the area east of highway 395. In 2016-17 high runoff allowed flooding of the fields east of cultivated fields east of Highway 395.",This habitat project along Highway 395 provides water to irrigate a field during the summer. The cover crop produced provides forage for Tule Elk.,Environmental project that supports wildlife.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/cbc97558d0bd4ca7bb980a702f09c62f/data,"<a href=""https://www.dropbox.com/sh/lv3nva61smtfzoe/AACyYeZ87ZNXCzLbkFze1Ss0a?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/oi7jjihg2q2ojjr/AACVoqVjmr7hh0OCjgSKfo_Ka?dl=0
60,,36.17661055,-117.9541502,1331,Recreation,Haiwee Reservoir,Haiwee Reservoir,Water Agreement,"<a href=""https://www.inyowater.org/documents/governing-documents/water-agreement/"">Water Agreement Section XIII</a>",,,Not fully implemented,0,"This recreation project is a legal commitment. A recreation plan to be developed by LADWP and Inyo County was put on hold after LADWP conducted a security audit. The audit was not shared with Inyo County, but according to LADWP the report concluded that the reservoir should be closed to the public. LADWP prepared a Negative Declaration to close the water body to the public on December 16, 2004. According to LADWP, the reservoir was officially closed in 2005. There is strong interest, and push by the public to return access to the site. Inyo County has proposed reassessing the closure, and if these waters cannot be open to the public then an alternative project needs to be developed.","LADWP and Inyo County are to develop a recreation plan for South Haiwee Reservoir, and LADWP is to open this facility to public recreation pursuant to the Agreement. The recreation plan is to be implemented and operated by Inyo County or by a concessionaire. In the event that the continued operation of South Haiwee is not allowed, a recreation plan to operate North Haiwee Reservoir is to be developed and implemented if it is feasible to do so. The Reservoir lakes (north and south) have long been a popular recreational resource and prized fishery until 2005, when LADWP closed public access over security concerns. ",Offered as a recreational resource.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/9264aaf3220d45978147216411abeb31/data,"<a href=""https://www.dropbox.com/sh/zcecczje87meshh/AABxUQxMIVdmUqZGbMRj_HIwa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/9zohk4yabdcpld5/AADCGi2MgdSMh5m3cvhkNGQJa?dl=0
62,,36.98684608,-118.219632,9,Habitat,Calvert Slough,Calvert Lake,"Environmental Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=358"">EIR Impact 10-5</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a>",,Implemented and ongoing,50,LADWP has regularly reported that low flows in the creek do not allow supplying the project because of high ditch losses and the off status of the two wells upstream of the project. No water was supplied to this project for seven years (1998- 2004). The enhancement of the Calvert Slough wetland considered when identifying Additional Mitigation measures It was not selected as one of the final projects. The area was burned in 2021 to improve vegetation.,This habitat project provides water to maintain a small marsh and pond.,Maintains wildlife habitat and provides for enhanced grazing.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/9604fa86f3864d9faf7fd3d7f393c300/data,"<a href=""https://www.dropbox.com/sh/wx1wf64m1ji2nt0/AAAus8kuDbpTDGUNgf7OPxLFa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/f64ac5nr0exi4cr/AABwFDjZd5dhRB4umwV3LPd-a?dl=0
63,,37.29933631,-118.3289248,46,Habitat,Saunders Pond,Saunders Lake,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=358"">EIR Impact 10-5</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a>",,Implemented and ongoing,50,The project has developed a healthy hemi-marsh (emergent vegetation and open-water mix).,This habitat project provides water to a warm-water fishery and waterfowl area.,Provides wildlife habitat and recreational opportunities.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/47d7dcc6dd224431b912efd8190074c8/data,"<a href=""https://www.dropbox.com/sh/rpiqd0jp74yczds/AABZqf4k2OzPKkVtHRFB8b5Oa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/kxbyyhx5uhhywyy/AADsnzFQlqEu-rEObAEWwgHfa?dl=0
64,,36.52490652,-117.9627947,1523,Habitat,Delta Habitat Area,LORP Delta Habitat Area,"MOU, LORP","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.C.2</a>","<a href=""https://inyowater.org/wp-content/uploads/legacy/LORP/DOCUMENTS/LORPFinalEIREIS.pdf"">LORP EIR 6.1-6, Table 2-20 & 6-1</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2014/04/LORP_MonitoringAdaptiveManagmentPlan_042808_Print_Small.pdf"">LORP MAMP</a>",Implemented and ongoing,50,"Tule overgrowth has been linked to a continuous supply of water and seasonal water pulses. Since 2020, as part of the LORP Adaptive Management Action, alternative water management strategies have been implemented through an interim plan to restrict water deliveries during the growing season. These efforts aim to reduce tule growth and restore open water pond habitats and edge meadows. The effectiveness of these altered water management practices will be evaluated in 2025.","This habitat project is a principal component of the Lower Owens River Project (LORP). Water entering the Delta enhances and maintains existing wetland habitat within the Delta. An average 6-9 cfs is supplied the Delta year-round, augmented with seasonal irrigation pulses.","The goal of the LORP is the establishment of a healthy, functioning Lower Owens River riverine-riparian ecosystem, and the establishment of healthy functioning ecosystems in the other elements of the LORP, for the benefit of biodiversity and threatened and endangered species, while providing for the continuation of sustainable uses including recreation, livestock grazing, agriculture, and other activity",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/99a6fa701fa641e2ac3b577c7fb98ca7/data,"<a href=""https://www.dropbox.com/sh/e80z7h2wwzfdxiz/AAD-u8fBVtx5wknhtqsexQYDa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/xd7b9kyi7aqktpp/AAAJ6iWeZeoY9iX9gfISSUEDa?dl=0
65,,36.54988533,-117.9833561,6,Habitat,River Pumpback Facility,LORP Pumpback Facility,"MOU, LORP","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section II.G</a> LORP EIR Table 2-18",,,Completed,100,Limits on the volume of water that can be pumped (50 cfs) have hampered efforts to experiment with river flows that might improve river and floodplain conditions.  ,The pumpback facility provides infrastructure in the Lower Owens River Project (LORP) needed to pump a portion of water from the river back onto the LA Aqueduct and onto Owens Lake for dust control. ,"The goal of the LORP is the establishment of a healthy, functioning Lower Owens River riverine-riparian ecosystem, and the establishment of healthy functioning ecosystems in the other elements of the LORP, for the benefit of biodiversity and threatened and endangered species, while providing for the continuation of sustainable uses including recreation, livestock grazing, agriculture, and other activity",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/2e69b5982bd34246bd692c09913b2434/data,"<a href=""https://www.dropbox.com/sh/mb4iczmvrpcwj70/AACroEu314xhQSVcg5k0a-FJa?dl=0"">Additional Resources</a>",
66,not in status table,36.66861185,-118.0850367,1490,Habitat,Islands Area,LORP Islands Area,"MOU, LORP","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.C.2</a>","<a href=""https://inyowater.org/wp-content/uploads/legacy/LORP/DOCUMENTS/LORPFinalEIREIS.pdf"">LORP EIR 6.1-6, Table 2-20 & 6-1</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2014/04/LORP_MonitoringAdaptiveManagmentPlan_042808_Print_Small.pdf"">LORP MAMP</a>","Fully implemented, but not meeting goals",25,"Prior to the introduction of a continuous 40 cfs flow in the Lower Owens River, this low lying area had been rich habitat. The formally diverse mosaic of upland vegetation, marsh, and wet and dry meadow, has been replaced by an extensive tule and cattail monoculture. Habitat values in the area have degraded from pre LORP conditions. The tree willow have been extirpated. Fire sweeping through the area has only increased the density of emergent vegetation. Inyo County has proposed an adaptive management experiment to open this are and restore lost habitat. LADWP, at this time, has shown little interest in engaging in a study or experiment. ",This is a section of river/floodplan along the river corridor of the Lower Owens River Project (LORP).,"The goal of the LORP is the establishment of a healthy, functioning Lower Owens River riverine-riparian ecosystem, and the establishment of healthy functioning ecosystems in the other elements of the LORP, for the benefit of biodiversity and threatened and endangered species, while providing for the continuation of sustainable uses including recreation, livestock grazing, agriculture, and other activity",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/81455b136348415eab229b69bca2cd2f/data,"<a href=""https://www.dropbox.com/sh/mc4mswuljf7oxac/AAA4hMnPE7c3n4vVLc8vJuGia?dl=0"">Additional Resources</a>",
67,Is this just a location place holder for reference?,36.97550891,-118.2102016,1,Habitat,River Intake Structure,LORP Intake Structure,"MOU, LORP","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Figure 2</a>",,,Completed,100,"The intake gates are raised and lowered as needed to provide a continuous flow of 40 cfs all the way, 52 miles, to the Pumpback Station. The MOU specifies that a baseflow of 40 cubic feet per second (cfs) will be established from the River Intake to the pump station near the Owens River Delta. This reach is approximately 62 river miles long. The MOU also specifies an annual seasonal habitat flow of up to 200 cfs. The annual amount of the seasonal habitat flow will depend on the runoff amount in Owens Valley each year. ",The intake structure provides infrastructure in the Lower Owens River Project (LORP) needed to regulate the flow into the Lower Owens River. ,"The goal of the LORP is the establishment of a healthy, functioning Lower Owens River riverine-riparian ecosystem, and the establishment of healthy functioning ecosystems in the other elements of the LORP, for the benefit of biodiversity and threatened and endangered species, while providing for the continuation of sustainable uses including recreation, livestock grazing, agriculture, and other activity",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/75370a8fb03d4b09991a414fe39e2401/data,"<a href=""https://www.dropbox.com/sh/trcyqbnihw8wv4i/AACi8A1s3omQt-Z9V2dPBuD8a?dl=0"">Additional Resources</a>",
68,LORP EIR,36.92173042,-118.2136277,827,Habitat,Drew Unit,Blackrock Waterfowl Drew,"MOU, LORP","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section II.C.4</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2014/04/LORP_MonitoringAdaptiveManagmentPlan_042808_Print_Small.pdf"">LORP MAMP</a>",,Implemented and ongoing,50,"With the implementation of a new 5-year Interim Management Plan, the Drew Unit will not be flooded. This unit is the deepest of the BWMA basins and holds water. This prevents the draining of water in the growing season, resulting in an overgrowth of tules. It had been proposed that this unit be engineered and managed to hold water year-round to the benefit of resident wildlife. ",This habitat area is a sub-component of the Blackrock Waterfowl Management Area (BWMA) within the Lower Owens River Project (LORP). These units are cycled through to provide seasonally flooded acreage. The goal is to produce and maintain waterfowl habitat for resident and migratory waterfowl and other native species.,"The goal of the LORP is the establishment of a healthy, functioning Lower Owens River riverine-riparian ecosystem, and the establishment of healthy functioning ecosystems in the other elements of the LORP, for the benefit of biodiversity and threatened and endangered species, while providing for the continuation of sustainable uses including recreation, livestock grazing, agriculture, and other activity",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/dc64275919304b938d6faf75820c508c/data,"<a href=""https://www.dropbox.com/sh/p9mb8k33lyoahhv/AADHYTVFpd9MnCGAlxmWUuiaa?dl=0"">Additional Resources</a>",
69,LORP EIR,36.90002337,-118.2174073,1919,Habitat,Winterton Unit,Blackrock Waterfowl Winterton,"MOU, LORP","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section II.C.4</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2014/04/LORP_MonitoringAdaptiveManagmentPlan_042808_Print_Small.pdf"">LORP MAMP</a>",,Implemented and ongoing,50,"This unit is actively managed under a new 5-year Interim Management Plan (2021). Shallow basins will be seasonally filled in the fall and drained in the spring to discourage emergent vegetation and enhance waterfowl and shorebird habitat. The original LORP plan, which called for a year-round water supply, had unintentially promoted the growth of emergent vegetation such as cattails and bulrush, leading to the filling in of open-water habitats. Monitoring efforts include avian surveys, tracking flooded areas, and assessing forage production.",This habitat area is a sub-component of the Blackrock Waterfowl Management Area (BWMA) within the Lower Owens River Project (LORP). These units are cycled through to provide seasonally flooded acreage. The goal is to produce and maintain waterfowl habitat for resident and migratory waterfowl and other native species.,"The goal of the LORP is the establishment of a healthy, functioning Lower Owens River riverine-riparian ecosystem, and the establishment of healthy functioning ecosystems in the other elements of the LORP, for the benefit of biodiversity and threatened and endangered species, while providing for the continuation of sustainable uses including recreation, livestock grazing, agriculture, and other activity",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/68d56c785c744d9ca7b6d0648d6eeba4/data,"<a href=""https://www.dropbox.com/sh/p9mb8k33lyoahhv/AADHYTVFpd9MnCGAlxmWUuiaa?dl=0"">Additional Resources</a>",
70,LORP EIR,36.90219376,-118.1895342,1556,Habitat,Waggoner Unit,Blackrock Waterfowl Waggoner,"MOU, LORP","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section II.C.4</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2014/04/LORP_MonitoringAdaptiveManagmentPlan_042808_Print_Small.pdf"">LORP MAMP</a>",,Implemented and ongoing,50,"This unit is actively managed under a new 5-year Interim Management Plan (2021). Shallow basins will be seasonally filled in the fall and drained in the spring to discourage emergent vegetation and enhance waterfowl and shorebird habitat. The original LORP plan, which called for a year-round water supply, had unintentially promoted the growth of emergent vegetation such as cattails and bulrush, leading to the filling in of open-water habitats. Monitoring efforts include avian surveys, tracking flooded areas, and assessing forage production.",This habitat area is a sub-component of the Blackrock Waterfowl Management Area (BWMA) within the Lower Owens River Project (LORP). These units are cycled through to provide seasonally flooded acreage. The goal is to produce and maintain waterfowl habitat for resident and migratory waterfowl and other native species.,"The goal of the LORP is the establishment of a healthy, functioning Lower Owens River riverine-riparian ecosystem, and the establishment of healthy functioning ecosystems in the other elements of the LORP, for the benefit of biodiversity and threatened and endangered species, while providing for the continuation of sustainable uses including recreation, livestock grazing, agriculture, and other activity",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/da93011789144514b48d8da07adeb0f1/data,"<a href=""https://www.dropbox.com/sh/p9mb8k33lyoahhv/AADHYTVFpd9MnCGAlxmWUuiaa?dl=0"">Additional Resources</a>",
